Date,SPY,QQQ,VTI,DVY,EFA,EEM,VNQ,TLT,IEF,SHY,GLD
2006-11-16 00:00:00-05:00,98.1520004272461,37.99018859863281,48.97661590576172,34.91544723510742,39.69061279296875,23.687902450561523,33.6814079284668,49.03172302246094,50.721309661865234,57.248085021972656,61.310001373291016
2006-11-17 00:00:00-05:00,98.17993927001953,37.99018859863281,48.95193862915039,34.89057540893555,39.57382583618164,23.661365509033203,33.55245590209961,49.31131362915039,50.90513229370117,57.319610595703125,61.779998779296875
2006-11-20 00:00:00-05:00,98.23587799072266,38.067359924316406,48.98012161254883,34.87066650390625,39.27356719970703,23.568477630615234,34.71311950683594,49.3880729675293,50.93574523925781,57.333900451660156,61.77000045776367
2006-11-21 00:00:00-05:00,98.3337631225586,38.11880874633789,49.10702133178711,34.691490173339844,39.46818161010742,23.94443130493164,35.27342224121094,49.5086784362793,51.0092658996582,57.34823226928711,62.27000045776367
2006-11-22 00:00:00-05:00,98.5295639038086,38.35890197753906,49.24447250366211,34.69646453857422,39.85185241699219,24.112516403198242,35.429073333740234,49.590911865234375,51.088897705078125,57.391075134277344,62.5
2006-11-24 00:00:00-05:00,98.13101959228516,38.290321350097656,49.099979400634766,34.64170837402344,39.64054870605469,24.108091354370117,35.58027648925781,49.67863464355469,51.14408493041992,57.39826583862305,63.5
2006-11-27 00:00:00-05:00,96.78157043457031,37.42417907714844,48.321041107177734,34.2684211730957,39.3124885559082,23.652515411376953,34.61971664428711,49.859561920166016,51.193084716796875,57.43397521972656,63.70000076293945
2006-11-28 00:00:00-05:00,97.20112609863281,37.53565979003906,48.50431442260742,34.362979888916016,39.66279983520508,23.789636611938477,34.71311950683594,49.96366500854492,51.28499984741211,57.4626350402832,63.56999969482422
2006-11-29 00:00:00-05:00,98.21491241455078,37.79292297363281,49.00127410888672,34.74126052856445,40.11319351196289,24.1744441986084,35.20228576660156,49.84857177734375,51.22371292114258,57.4626350402832,63.15999984741211
2006-11-30 00:00:00-05:00,98.25690460205078,37.76719665527344,49.078800201416016,34.72633743286133,40.28558349609375,24.282804489135742,35.57137680053711,50.177494049072266,51.49324035644531,57.526973724365234,64.38999938964844
2006-12-01 00:00:00-05:00,98.04009246826172,37.44135665893555,48.94135284423828,34.75619125366211,40.23551559448242,24.18328857421875,35.50468063354492,50.30519104003906,51.61251449584961,57.63961410522461,64.12000274658203
2006-12-04 00:00:00-05:00,98.78826141357422,37.95586013793945,49.420711517333984,35.00007629394531,40.49687194824219,24.687519073486328,35.918235778808594,50.39316940307617,51.60637664794922,57.63249969482422,64.12000274658203
2006-12-05 00:00:00-05:00,99.21472930908203,38.09308624267578,49.60041046142578,35.1891975402832,40.7248420715332,25.11876678466797,35.64252471923828,50.15658950805664,51.53874206542969,57.63249969482422,63.810001373291016
2006-12-06 00:00:00-05:00,99.13085174560547,37.95586013793945,49.572261810302734,35.13943099975586,40.63587951660156,24.946264266967773,35.44242477416992,50.05753707885742,51.45884704589844,57.62527084350586,62.689998626708984
2006-12-07 00:00:00-05:00,98.69740295410156,37.47563934326172,49.35020446777344,34.96025466918945,40.77488708496094,24.857807159423828,35.224517822265625,50.019039154052734,51.44041442871094,57.61094665527344,62.72999954223633
2006-12-08 00:00:00-05:00,98.87919616699219,37.64716339111328,49.43478775024414,34.9254150390625,40.674800872802734,24.74723243713379,35.34012985229492,49.65581512451172,51.20675277709961,57.53922653198242,62.04999923706055
2006-12-11 00:00:00-05:00,99.16580200195312,37.78435516357422,49.5405158996582,35.11455154418945,40.84160232543945,24.75828742980957,35.420169830322266,49.87046432495117,51.366600036621094,57.54633331298828,62.56999969482422
2006-12-12 00:00:00-05:00,99.08892059326172,37.56137466430664,49.462982177734375,35.1891975402832,41.008426666259766,24.45973777770996,35.26008987426758,49.9749755859375,51.45884704589844,57.62527084350586,62.52000045776367
2006-12-13 00:00:00-05:00,99.19375610351562,37.6300048828125,49.547576904296875,35.2091178894043,41.164127349853516,24.592411041259766,35.07776641845703,49.529300689697266,51.19445037841797,57.54633331298828,62.47999954223633
2006-12-14 00:00:00-05:00,100.06775665283203,38.05018615722656,49.9246826171875,35.438072204589844,41.33092498779297,25.012609481811523,35.10445022583008,49.347686767578125,51.11451721191406,57.51763916015625,62.119998931884766
2006-12-15 00:00:00-05:00,100.0768814086914,38.14808654785156,49.93878936767578,35.398258209228516,41.164127349853516,25.123197555541992,34.84207534790039,49.37520980834961,51.12680435180664,57.53922653198242,61.0
2006-12-18 00:00:00-05:00,99.8027114868164,37.77029037475586,49.734352111816406,35.30369186401367,41.102962493896484,24.9484920501709,34.62417221069336,49.391719818115234,51.151363372802734,57.53922653198242,61.040000915527344
2006-12-19 00:00:00-05:00,99.99250030517578,37.65008544921875,49.80485534667969,35.403228759765625,41.286460876464844,24.791465759277344,34.33068084716797,49.32566452026367,51.139095306396484,57.54633331298828,61.79999923706055
2006-12-20 00:00:00-05:00,99.93628692626953,37.51271438598633,49.78372573852539,35.45638656616211,41.21417236328125,25.065780639648438,34.69087600708008,49.32018280029297,51.12680435180664,57.582271575927734,61.619998931884766
2006-12-21 00:00:00-05:00,99.5706787109375,37.24654006958008,49.58986282348633,35.38114547729492,41.19316482543945,25.02092170715332,34.406280517578125,49.56775665283203,51.311256408691406,57.62527084350586,61.380001068115234
